,PercentTradesNeverDelq_2<=0.5_importance,MaxDelq2PublicRecLast12M_0<=0.5_importance,MSinceMostRecentInqexcl7days_1<=0.5_importance,NetFractionRevolvingBurden_0<=0.5_importance,NetFractionRevolvingBurden_4<=0.5_importance,AverageMInFile_0<=0.5_importance,train_acc,train_f1,test_acc_complete,test_f1_complete,test_acc_all,test_f1_all,n_leaves,train_loss
284,0.0,0.08447604536990017,0.0,0.0,0.07414931437277805,0.0711020822752666,0.697138987641781,0.699277189443604,0.6735647530040053,0.6750830564784053,0.5766695957820738,0.5747075700728316,5,0.30286101235821883
285,0.10631454206873203,0.0,0.0,0.0,0.050617910953106415,0.057389537836465165,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5764499121265377,0.6145541783286685,5,0.2994751989165416
286,0.07499576773319794,0.0,0.0,0.03724394785847296,0.04740138818351114,0.0,0.6786863043846284,0.6689919776770143,0.644192256341789,0.6222537207654146,0.5531634446397188,0.5389845874886673,4,0.32131369561537376
287,0.10529879803622821,0.0,0.0,0.0,0.05163365498561023,0.050110038936854506,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5942442882249561,0.6366319102891993,5,0.29947519891654123
288,0.03114948366345016,0.036905366514305094,0.0,0.0,0.07516505840528187,0.0668698154731674,0.7003555104113763,0.6959807626245277,0.670894526034713,0.6648538409245411,0.5760105448154658,0.567845947156292,5,0.2996444895886235
289,0.10936177416624338,0.0,0.0,0.0,0.05891315388522089,0.05552734044354157,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5942442882249561,0.6366319102891993,5,0.299475198916542
290,0.11664127306585403,0.0,0.0,0.0,0.05468088708312169,0.0514643643135263,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5764499121265377,0.6145541783286685,4,0.29947519891654245
291,0.07838158117487726,0.03995259861181644,0.0,0.0,0.06382258337565594,0.0,0.6813949551379719,0.7006045179764556,0.6495327102803738,0.6649649010848756,0.554481546572935,0.5735912531539108,4,0.31860504486202934
292,0.10648383274081596,0.0,0.0,0.0,0.051125782969358324,0.04706280683934316,0.7005248010834603,0.7341848234410218,0.670894526034713,0.7060226595110316,0.5927065026362038,0.6347517730496454,5,0.2994751989165411
293,0.0,0.08142881327238871,0.00507872016251909,0.0,0.0663619434569156,0.05315727103436607,0.6981547316742848,0.6956818569721795,0.6755674232309746,0.6707317073170732,0.546572934973638,0.5268225584594223,5,0.3018452683257151
